x(m)	y(m)	Flux(W/m2)
0.0252898	1.14	669.746
0.0274889	1.14	1339.49
0.0296881	1.14	1339.49
0.0318872	1.14	2009.24
0.0340863	1.14	0
0.0362854	1.14	1339.49
0.0384845	1.14	334.873
0.0406836	1.14	1339.49
0.0428827	1.14	1339.49
0.0450819	1.14	1339.49
0.047281	1.14	1004.62
0.0494801	1.14	334.873
0.0516792	1.14	1004.62
0.0538783	1.14	669.746
0.0560774	1.14	669.746
0.0582765	1.14	334.873
0.0604757	1.14	0
0.0626748	1.14	669.746
0.0648739	1.14	1339.49
0.067073	1.14	1674.37
0.0692721	1.14	669.746
0.0714712	1.14	669.746
0.0736704	1.14	1004.62
0.0758695	1.14	1004.62
0.0780686	1.14	669.746
0.0802677	1.14	669.746
0.0824668	1.14	669.746
0.0846659	1.14	669.746
0.086865	1.14	1004.62
0.0890642	1.14	334.873
0.0912633	1.14	334.873
0.0934624	1.14	334.873
0.0956615	1.14	1339.49
0.0978606	1.14	669.746
0.10006	1.14	1339.49
0.102259	1.14	1339.49
0.104458	1.14	7367.21
0.106657	1.14	7032.34
0.108856	1.14	8371.83
0.111055	1.14	14734.4
0.113254	1.14	22771.4
0.115454	1.14	27794.5
0.117653	1.14	33487.3
0.119852	1.14	39515
0.122051	1.14	43868.4
0.12425	1.14	46882.2
0.126449	1.14	57263.3
0.128648	1.14	55588.9
0.130847	1.14	63291
0.133046	1.14	63625.9
0.135246	1.14	56928.4
0.137445	1.14	54919.2
0.139644	1.14	53244.8
0.141843	1.14	49561.2
0.144042	1.14	43533.5
0.146241	1.14	44873
0.14844	1.14	52575.1
0.150639	1.14	46882.2
0.152838	1.14	43868.4
0.155038	1.14	47886.9
0.157237	1.14	42194
0.159436	1.14	40519.7
0.161635	1.14	34826.8
0.163834	1.14	43533.5
0.166033	1.14	39849.9
0.168232	1.14	41859.1
0.170431	1.14	44873
0.172631	1.14	46882.2
0.17483	1.14	42194
0.177029	1.14	44203.3
0.179228	1.14	50565.8
0.181427	1.14	43198.6
0.183626	1.14	49561.2
0.185825	1.14	47552
0.188024	1.14	47217.1
0.190223	1.14	50565.8
0.192423	1.14	51570.5
0.194622	1.14	54249.5
0.196821	1.14	50900.7
